Sent,Tags,Item_Id,Condition,surprisal_NC,surprisal_DC
दो,PreMainVerb,2,d,0.60649,0.78991
दिन,PreMainVerb,2,d,0.26223,0.60803
पुरानी,PreMainVerb,2,d,0.58901,0.53282
है।,MainVerb,2,d,0.17392,0.13237
वह,NP1,3,a,0.00071,0.10484
आदमी,NP1,3,a,0.20192,0.89087
जिसने,RCPn,3,a,0.00896,0.05765
सब्जीयाँ,RCObj,3,a,1.17086,0.58196
धीरे-धीरे,PreRCVerb,3,a,0.09735,0.46413
चुनी,RCVerb,3,a,0.95149,0.29432
थीं,RCVerb,3,a,0.00346,0.00424
मेरे,PreMainVerb,3,a,0.22392,0.92002
मुहल्ले,PreMainVerb,3,a,0.23578,0.86735
में,PreMainVerb,3,a,0.14898,0.11021
रहता,MainVerb,3,a,0.71417,0.15136
है।,MainVerb,3,a,0.79093,0.50439
वह,NP1,3,b,0.00071,0.10484
आदमी,NP1,3,b,0.20192,0.89087
जिसने,RCPn,3,b,0.00896,0.05765
धीरे-धीरे,PreRCVerb,3,b,0.14371,0.41509
चुनी,RCVerb,3,b,0.99632,0.23347
थीं,RCVerb,3,b,0.00346,0.00424
सब्जीयाँ,RCObj,3,b,0.18865,0.59073
मेरे,PreMainVerb,3,b,0.50795,1.50579
मुहल्ले,PreMainVerb,3,b,0.23931,0.73001
में,PreMainVerb,3,b,0.14898,0.11021
रहता,MainVerb,3,b,0.71417,0.15655
है।,MainVerb,3,b,0.79093,0.50439
वह,NP1,3,c,0.00071,0.10484
सब्जीयाँ,NP1,3,c,0.20154,0.88503
जिनको,RCPn,3,c,0.00893,0.05763
उस,RCSubj,3,c,0.02087,0.08714
आदमी,RCSubj,3,c,0.65378,1.16663
ने,RCSubj,3,c,0.01345,0.15734
धीरे-धीरे,PreRCVerb,3,c,0.07217,0.43695
चुना,RCVerb,3,c,1.17949,0.28574
था,RCVerb,3,c,0.00335,0.00396
बहुत,PreMainVerb,3,c,0.14205,0.34041
महंगी,PreMainVerb,3,c,0.21797,0.3338
हैं।,MainVerb,3,c,0.42345,0.33063
वह,NP1,3,d,0.00071,0.10484
सब्जीयाँ,NP1,3,d,0.20154,0.88503
जिनको,RCPn,3,d,0.00893,0.05763
धीरे-धीरे,PreRCVerb,3,d,0.14385,0.41509
चुना,RCVerb,3,d,0.99341,0.23303
था,RCVerb,3,d,0.00335,0.00396
उस,RCSubj,3,d,0.23124,0.75622
आदमी,RCSubj,3,d,0.22103,0.59979
ने,RCSubj,3,d,0.16311,0.3109
बहुत,PreMainVerb,3,d,0.62796,0.66154
महंगी,PreMainVerb,3,d,0.27065,0.35136
हैं।,MainVerb,3,d,0.42345,0.33063
वह,NP1,4,a,0.00071,0.10484
बच्ची,NP1,4,a,0.20169,0.88503
जिसने,RCPn,4,a,0.00892,0.05763
मिठाई,RCObj,4,a,0.07692,0.40182
आराम,PreRCVerb,4,a,0.92618,2.28668
से,PreRCVerb,4,a,0.01338,0.12512
खायी,RCVerb,4,a,1.28637,0.1672
थी,RCVerb,4,a,0.00221,0.00469
मेरी,PreMainVerb,4,a,0.19706,0.8395
बहन,PreMainVerb,4,a,0.17539,0.86528
है।,MainVerb,4,a,0.56828,0.72143
वह,NP1,4,b,0.00071,0.10484
बच्ची,NP1,4,b,0.20169,0.88503
जिसने,RCPn,4,b,0.00892,0.05763
आराम,PreRCVerb,4,b,1.17045,0.58794
से,PreRCVerb,4,b,0.01315,0.1229
खायी,RCVerb,4,b,1.01659,0.22487
थी,RCVerb,4,b,0.00221,0.00469
मिठाई,RCObj,4,b,0.12823,0.66161
मेरी,PreMainVerb,4,b,0.48134,1.42309
बहन,PreMainVerb,4,b,0.17893,0.72817
है।,MainVerb,4,b,0.56828,0.72143
वह,NP1,4,c,0.00071,0.10484
मिठाई,NP1,4,c,0.20173,0.88503
जिसको,RCPn,4,c,0.00893,0.05763
उस,RCSubj,4,c,0.02087,0.08714
बच्ची,RCSubj,4,c,0.65471,1.15604
ने,RCSubj,4,c,0.01344,0.15816
आराम,PreRCVerb,4,c,0.67574,0.64008
से,PreRCVerb,4,c,0.0141,0.1291
खाया,RCVerb,4,c,1.56853,0.27584
था,RCVerb,4,c,0.00219,0.00441
बहुत,PreMainVerb,4,c,0.1018,0.38282
मीठी,PreMainVerb,4,c,0.17552,0.36557
होती,MainVerb,4,c,0.22585,0.11787
है।,MainVerb,4,c,0.61355,0.57611
वह,NP1,4,d,0.00071,0.10484
मिठाई,NP1,4,d,0.20173,0.88503
जिसको,RCPn,4,d,0.00893,0.05763
आराम,PreRCVerb,4,d,1.16989,0.58794
से,PreRCVerb,4,d,0.01315,0.1229
खाया,RCVerb,4,d,1.01627,0.22398
था,RCVerb,4,d,0.00219,0.00441
उस,RCSubj,4,d,0.20978,0.67728
बच्ची,RCSubj,4,d,0.16068,0.66355
ने,RCSubj,4,d,0.16322,0.31225
बहुत,PreMainVerb,4,d,0.58744,0.70278
मीठी,PreMainVerb,4,d,0.22821,0.38314
होती,MainVerb,4,d,0.22585,0.11787
है।,MainVerb,4,d,0.61355,0.57611
वह,NP1,5,a,0.00071,0.10484
औरत,NP1,5,a,0.20173,0.88503
जिसने,RCPn,5,a,0.00892,0.05763
नाव,RCObj,5,a,1.17051,0.58196
पिछले,PreRCVerb,5,a,0.04424,0.51162
हफ्ते,PreRCVerb,5,a,0.65226,2.45073
खरीदी,RCVerb,5,a,1.22938,0.16514
थी,RCVerb,5,a,0.00454,0.00428
इस,PreMainVerb,5,a,0.30127,0.94919
गाँव,PreMainVerb,5,a,0.28168,0.56795
की,PreMainVerb,5,a,0.1402,0.24776
सरपंच,PreMainVerb,5,a,0.78278,0.91117
है।,MainVerb,5,a,0.80747,0.25467
वह,NP1,5,b,0.00071,0.10484
औरत,NP1,5,b,0.20173,0.88503
जिसने,RCPn,5,b,0.00892,0.05763
पिछले,PreRCVerb,5,b,0.08825,0.5069
हफ्ते,PreRCVerb,5,b,0.96335,1.79677
खरीदी,RCVerb,5,b,1.29103,0.16514
थी,RCVerb,5,b,0.00454,0.00428
नाव,RCObj,5,b,0.24534,0.58628
इस,PreMainVerb,5,b,0.58515,1.25179
गाँव,PreMainVerb,5,b,0.28457,0.59755
की,PreMainVerb,5,b,0.1402,0.24776
सरपंच,PreMainVerb,5,b,0.78278,0.91117
है।,MainVerb,5,b,0.80747,0.25467
वह,NP1,5,c,0.00071,0.10484
नाव,NP1,5,c,0.20195,0.88503
जिसको,RCPn,5,c,0.00895,0.05763
उस,RCSubj,5,c,0.02087,0.08714
औरत,RCSubj,5,c,0.65454,1.15604
ने,RCSubj,5,c,0.01345,0.15816
पिछले,PreRCVerb,5,c,0.03238,0.484
हफ्ते,PreRCVerb,5,c,0.52696,2.48666
खरीदा,RCVerb,5,c,1.54982,0.16516
था,RCVerb,5,c,0.00449,0.00404
बहुत,PreMainVerb,5,c,0.18074,0.33843
प्रसिद्ध,PreMainVerb,5,c,0.25955,0.33271
है।,MainVerb,5,c,0.23979,0.14684
वह,NP1,5,d,0.00071,0.10484
नाव,NP1,5,d,0.20195,0.88503
जिसको,RCPn,5,d,0.00895,0.05763
पिछले,PreRCVerb,5,d,0.08833,0.5069
हफ्ते,PreRCVerb,5,d,0.96398,1.79677
खरीदा,RCVerb,5,d,1.28902,0.16516
था,RCVerb,5,d,0.00449,0.00404
उस,RCSubj,5,d,0.25628,0.76502
औरत,RCSubj,5,d,0.27769,0.60303
ने,RCSubj,5,d,0.16328,0.31225
बहुत,PreMainVerb,5,d,0.65294,1.30659
﻿प्रसिद्ध,PreMainVerb,5,d,0.31744,0.34702
है।,MainVerb,5,d,0.24293,0.15201
वह,NP1,6,a,0.00071,0.10484
लड़की,NP1,6,a,0.2015,0.88503
जिसने,RCPn,6,a,0.00893,0.05763
कविता,RCObj,6,a,1.17029,0.58196
सारे,PreRCVerb,6,a,0.04724,0.1762
लोगो,PreRCVerb,6,a,0.58727,2.59854
के,PreRCVerb,6,a,0.00897,0.09423
सामने,PreRCVerb,6,a,0.15843,0.5674
गायी,RCVerb,6,a,1.24424,0.1804
थी,RCVerb,6,a,0.00334,0.00421
बहुत,PreMainVerb,6,a,0.14075,0.33823
गरीब,PreMainVerb,6,a,0.2169,0.33374
है।,MainVerb,6,a,0.21225,0.14586
वह,NP1,6,b,0.00071,0.10484
लड़की,NP1,6,b,0.2015,0.88503
जिसने,RCPn,6,b,0.00893,0.05763
सारे,PreRCVerb,6,b,0.07308,0.15555
लोगो,PreRCVerb,6,b,0.86915,1.74404
के,PreRCVerb,6,b,0.00873,0.09423
सामने,PreRCVerb,6,b,0.15528,0.5674
गायी,RCVerb,6,b,1.30608,0.1804
थी,RCVerb,6,b,0.00334,0.00421
कविता,RCObj,6,b,0.18623,0.58595
बहुत,PreMainVerb,6,b,0.46383,0.58763
गरीब,PreMainVerb,6,b,0.21968,0.34101
है।,MainVerb,6,b,0.21225,0.14586
वह,NP1,6,c,0.00071,0.10484
कविता,NP1,6,c,0.2018,0.88503
जिसको,RCPn,6,c,0.00895,0.05763
उस,RCSubj,6,c,0.02087,0.08714
लड़की,RCSubj,6,c,0.6551,1.15604
ने,RCSubj,6,c,0.01344,0.15816
सारे,PreRCVerb,6,c,0.03474,0.17022
लोगो,PreRCVerb,6,c,0.50327,2.64255
के,PreRCVerb,6,c,0.00897,0.09423
सामने,PreRCVerb,6,c,0.15843,0.5674
गाया,RCVerb,6,c,1.56579,0.18026
था,RCVerb,6,c,0.00331,0.00397
काफी,PreMainVerb,6,c,0.17611,0.73265
पुरानी,PreMainVerb,6,c,0.21853,0.3361
है।,MainVerb,6,c,0.21555,0.15179
वह,NP1,6,d,0.00071,0.10484
कविता,NP1,6,d,0.2018,0.88503
जिसको,RCPn,6,d,0.00895,0.05763
सारे,PreRCVerb,6,d,0.07314,0.15555
लोगो,PreRCVerb,6,d,0.86971,1.74404
के,PreRCVerb,6,d,0.00873,0.09423
सामने,PreRCVerb,6,d,0.15528,0.5674
गाया,RCVerb,6,d,1.30494,0.18026
था,RCVerb,6,d,0.00331,0.00397
उस,RCSubj,6,d,0.23243,0.7638
लड़की,RCSubj,6,d,0.21866,0.60339
ने,RCSubj,6,d,0.16316,0.31225
काफी,PreMainVerb,6,d,0.61032,1.09787
पुरानी,PreMainVerb,6,d,0.27381,0.35258
है।,MainVerb,6,d,0.21555,0.15179
वह,NP1,7,a,0.00071,0.10484
आदमी,NP1,7,a,0.20192,0.89087
जिसने,RCPn,7,a,0.00896,0.05765
स्कूटर,RCObj,7,a,1.17145,0.57737
बड़ी,PreRCVerb,7,a,0.04535,0.52236
मेहनत,PreRCVerb,7,a,0.65965,2.45678
से,PreRCVerb,7,a,0.01303,0.12406
साफ,RCVerb,7,a,0.05122,0.5266
की,RCVerb,7,a,0.59936,0.1937
थी,RCVerb,7,a,0.00304,0.00392
पुराना,PreMainVerb,7,a,0.1609,0.24364
कर्मचारी,PreMainVerb,7,a,0.21413,0.63399
है।,MainVerb,7,a,0.58705,0.2474
वह,NP1,7,b,0.00071,0.10484
आदमी,NP1,7,b,0.20192,0.89087
जिसने,RCPn,7,b,0.00896,0.05765
बड़ी,PreRCVerb,7,b,0.09072,0.51819
मेहनत,PreRCVerb,7,b,0.97552,1.79406
से,PreRCVerb,7,b,0.0127,0.12406
साफ,RCVerb,7,b,0.05091,0.5266
की,RCVerb,7,b,0.62676,0.1937
थी,RCVerb,7,b,0.00304,0.00392
स्कूटर,RCObj,7,b,0.17069,0.56442
पुराना,PreMainVerb,7,b,0.43536,0.51028
कर्मचारी,PreMainVerb,7,b,0.21751,0.64045
है।,MainVerb,7,b,0.58705,0.2474
वह,NP1,7,c,0.00071,0.10484
स्कूटर,NP1,7,c,0.20177,0.88197
जिसको,RCPn,7,c,0.00893,0.05753
उस,RCSubj,7,c,0.02087,0.08714
आदमी,RCSubj,7,c,0.65373,1.16663
ने,RCSubj,7,c,0.01345,0.15734
बड़ी,PreRCVerb,7,c,0.03343,0.49489
मेहनत,PreRCVerb,7,c,0.53502,2.49034
से,PreRCVerb,7,c,0.01303,0.12406
साफ,RCVerb,7,c,0.05122,0.5266
किया,RCVerb,7,c,0.80005,0.17779
था,RCVerb,7,c,0.00246,0.00371
बैटरी,PreMainVerb,7,c,0.14224,0.57037
से,PreMainVerb,7,c,0.25266,0.31596
चलती,MainVerb,7,c,0.46724,0.2075
है।,MainVerb,7,c,0.80715,0.56501
वह,NP1,7,d,0.00071,0.10484
स्कूटर,NP1,7,d,0.20177,0.88197
जिसको,RCPn,7,d,0.00893,0.05753
बड़ी,PreRCVerb,7,d,0.0908,0.51819
मेहनत,PreRCVerb,7,d,0.97616,1.79251
से,PreRCVerb,7,d,0.0127,0.12406
साफ,RCVerb,7,d,0.05091,0.5266
किया,RCVerb,7,d,0.69147,0.17779
था,RCVerb,7,d,0.00246,0.00371
उस,RCSubj,7,d,0.18192,0.77828
आदमी,RCSubj,7,d,0.1748,0.58538
ने,RCSubj,7,d,0.16311,0.3109
बैटरी,PreMainVerb,7,d,0.67917,0.89796
से,PreMainVerb,7,d,0.11555,0.26975
चलती,MainVerb,7,d,0.86522,0.24032
है।,MainVerb,7,d,0.80715,0.56501
वह,NP1,8,a,0.00054,0.03664
माली,NP1,8,a,0.11968,0.47577
जिसने,RCPn,8,a,0.0216,0.36759
लकड़ी,RCObj,8,a,1.24746,0.5322
बहुत,PreRCVerb,8,a,0.05304,0.13633
दिलचस्पी,PreRCVerb,8,a,0.65896,4.02857
से,PreRCVerb,8,a,0.01315,0.11257
रखी,RCVerb,8,a,1.95785,0.12308
थी,RCVerb,8,a,0.0022,0.00471
बहुत,PreMainVerb,8,a,0.10146,0.38529
बूढ़ा,PreMainVerb,8,a,0.17496,0.36731
है।,MainVerb,8,a,0.18512,0.14558
वह,NP1,8,b,0.00071,0.10484
माली,NP1,8,b,0.20177,0.88503
जिसने,RCPn,8,b,0.00893,0.05763
बहुत,PreRCVerb,8,b,0.07137,0.12019
दिलचस्पी,PreRCVerb,8,b,0.87761,1.71905
से,PreRCVerb,8,b,0.01281,0.12449
रखी,RCVerb,8,b,1.27921,0.16805
थी,RCVerb,8,b,0.0022,0.00471
लकड़ी,RCObj,8,b,0.12767,0.66318
बहुत,PreMainVerb,8,b,0.42439,0.63469
बूढ़ा,PreMainVerb,8,b,0.17774,0.37458
है।,MainVerb,8,b,0.18512,0.14558
वह,NP1,8,c,0.00071,0.10484
लकड़ी,NP1,8,c,0.20183,0.88503
जिसको,RCPn,8,c,0.00894,0.05763
उस,RCSubj,8,c,0.02087,0.08714
माली,RCSubj,8,c,0.65438,1.15604
ने,RCSubj,8,c,0.01345,0.15816
बहुत,PreRCVerb,8,c,0.03391,0.1337
दिलचस्पी,PreRCVerb,8,c,0.5051,2.61947
से,PreRCVerb,8,c,0.01315,0.12449
रखा,RCVerb,8,c,1.51173,0.16781
था,RCVerb,8,c,0.00218,0.00443
बहुत,PreMainVerb,8,c,0.10121,0.38472
विचित्र,PreMainVerb,8,c,0.17467,0.36713
है।,MainVerb,8,c,0.18502,0.14555
वह,NP1,8,d,0.00071,0.10484
लकड़ी,NP1,8,d,0.20183,0.88503
जिसको,RCPn,8,d,0.00894,0.05763
बहुत,PreRCVerb,8,d,0.07143,0.12019
दिलचस्पी,PreRCVerb,8,d,0.87817,1.71905
से,PreRCVerb,8,d,0.01281,0.12449
रखा,RCVerb,8,d,1.25915,0.16781
था,RCVerb,8,d,0.00218,0.00443
उस,RCSubj,8,d,0.20861,0.67419
माली,RCSubj,8,d,0.15995,0.66597
ने,RCSubj,8,d,0.16328,0.31225
बहुत,PreMainVerb,8,d,0.58669,0.70468
विचित्र,PreMainVerb,8,d,0.22736,0.3847
है।,MainVerb,8,d,0.18502,0.14555
वह,NP1,9,a,0.00071,0.10484
किसान,NP1,9,a,0.20315,0.88503
जिसने,RCPn,9,a,0.00892,0.05763
फसल,RCObj,9,a,1.17007,0.58196
कल,PreRCVerb,9,a,0.86045,0.60546
सुबाह,PreRCVerb,9,a,0.01288,0.27197
मैदान,PreRCVerb,9,a,2.75542,3.72797
में,PreRCVerb,9,a,0.00997,0.11458
काटी,RCVerb,9,a,1.03643,0.16599
थी,RCVerb,9,a,0.00221,0.00475
बहुत,PreMainVerb,9,a,0.10184,0.38874
मेहनती,PreMainVerb,9,a,0.17537,0.36992
है।,MainVerb,9,a,0.18541,0.14563
वह,NP1,9,b,0.00071,0.10484
किसान,NP1,9,b,0.20315,0.88503
जिसने,RCPn,9,b,0.00892,0.05763
कल,PreRCVerb,9,b,1.17354,0.52839
सुबाह,PreRCVerb,9,b,0.00882,0.26848
मैदान,PreRCVerb,9,b,2.09993,2.9283
में,PreRCVerb,9,b,0.00997,0.11458
काटी,RCVerb,9,b,1.03643,0.16599
थी,RCVerb,9,b,0.00221,0.00475
फसल,RCObj,9,b,0.12819,0.66873
बहुत,PreMainVerb,9,b,0.42483,0.63814
मेहनती,PreMainVerb,9,b,0.17815,0.37719
है।,MainVerb,9,b,0.18541,0.14563
वह,NP1,9,c,0.00071,0.10484
फसल,NP1,9,c,0.20188,0.88503
जिसको,RCPn,9,c,0.00892,0.05763
उस,RCSubj,9,c,0.02087,0.08714
किसान,RCSubj,9,c,0.64982,1.15604
ने,RCSubj,9,c,0.01345,0.15816
कल,PreRCVerb,9,c,0.66988,0.57673
सुबाह,PreRCVerb,9,c,0.00648,0.23837
मैदान,PreRCVerb,9,c,3.62746,3.82137
में,PreRCVerb,9,c,0.00997,0.11458
काटा,RCVerb,9,c,1.03576,0.16599
था,RCVerb,9,c,0.00219,0.00447
काफी,PreMainVerb,9,c,0.1347,0.83222
महंगी,PreMainVerb,9,c,0.17755,0.36728
है।,MainVerb,9,c,0.18851,0.1508
वह,NP1,9,d,0.00071,0.10484
फसल,NP1,9,d,0.20188,0.88503
जिसको,RCPn,9,d,0.00892,0.05763
कल,PreRCVerb,9,d,1.17301,0.52839
सुबाह,PreRCVerb,9,d,0.00882,0.26848
मैदान,PreRCVerb,9,d,2.10004,2.9283
में,PreRCVerb,9,d,0.00997,0.11458
काटा,RCVerb,9,d,1.03576,0.16599
था,RCVerb,9,d,0.00219,0.00447
उस,RCSubj,9,d,0.20963,0.66822
किसान,RCSubj,9,d,0.16078,0.67069
ने,RCSubj,9,d,0.16296,0.31225
काफी,PreMainVerb,9,d,0.56941,1.19744
महंगी,PreMainVerb,9,d,0.23275,0.38378
है।,MainVerb,9,d,0.18851,0.1508
वह,NP1,10,a,0.00054,0.03664
टी-टी,NP1,10,a,0.11972,0.47577
जिसने,RCPn,10,a,0.0216,0.36759
सिगरेट,RCObj,10,a,0.11409,0.36296
वेटिंग,PreRCVerb,10,a,0.30473,0.92532
रूम,PreRCVerb,10,a,2.02515,4.11719
के,PreRCVerb,10,a,0.0098,0.08198
सामने,PreRCVerb,10,a,0.15158,0.58993
मांगी,RCVerb,10,a,1.73915,0.13148
थी,RCVerb,10,a,0.00333,0.00421
मेरी,PreMainVerb,10,a,0.22354,0.94195
मौसी,PreMainVerb,10,a,0.23268,0.83317
का,PreMainVerb,10,a,0.14965,0.10304
रिशतेदार,PreMainVerb,10,a,0.72163,0.66621
है।,MainVerb,10,a,0.77936,0.74768
वह,NP1,10,b,0.00054,0.03664
टी-टी,NP1,10,b,0.11972,0.47577
जिसने,RCPn,10,b,0.0216,0.36759
वेटिंग,PreRCVerb,10,b,0.11392,0.36296
रूम,PreRCVerb,10,b,1.7791,3.69216
के,PreRCVerb,10,b,0.0098,0.08198
सामने,PreRCVerb,10,b,0.15158,0.58993
मांगी,RCVerb,10,b,1.73915,0.13148
थी,RCVerb,10,b,0.00333,0.00421
सिगरेट,RCObj,10,b,0.18544,0.58628
मेरी,PreMainVerb,10,b,0.50783,1.52554
मौसी,PreMainVerb,10,b,0.23621,0.7
का,PreMainVerb,10,b,0.14965,0.10304
रिशतेदार,PreMainVerb,10,b,0.72163,0.66621
है।,MainVerb,10,b,0.77936,0.74768
वह,NP1,10,c,0.00071,0.10484
सिगरेट,NP1,10,c,0.20153,0.88503
जिसको,RCPn,10,c,0.00894,0.05763
उस,RCSubj,10,c,0.02087,0.08714
टी-टी,RCSubj,10,c,0.69582,1.27422
ने,RCSubj,10,c,0.0291,0.22972
वेटिंग,PreRCVerb,10,c,0.04057,0.89655
रूम,PreRCVerb,10,c,0.63133,2.8398
के,PreRCVerb,10,c,0.0098,0.09511
सामने,PreRCVerb,10,c,0.15158,0.55443
मांगा,RCVerb,10,c,1.71165,0.17746
था,RCVerb,10,c,0.00329,0.00398
विलायत,PreMainVerb,10,c,0.18544,0.586
से,PreMainVerb,10,c,0.25266,0.31596
आती,MainVerb,10,c,0.48687,0.20745
है।,MainVerb,10,c,0.82808,0.60182
वह,NP1,10,d,0.00071,0.10484
सिगरेट,NP1,10,d,0.20153,0.88503
जिसको,RCPn,10,d,0.00894,0.05763
वेटिंग,PreRCVerb,10,d,0.07699,0.40182
रूम,PreRCVerb,10,d,0.92836,2.29181
के,PreRCVerb,10,d,0.00927,0.09511
सामने,PreRCVerb,10,d,0.15117,0.55443
मांगा,RCVerb,10,d,1.26466,0.17746
था,RCVerb,10,d,0.00329,0.00398
उस,RCSubj,10,d,0.23149,0.76299
टी-टी,RCSubj,10,d,0.17741,0.71264
ने,RCSubj,10,d,0.52379,0.74022
विलायत,PreMainVerb,10,d,0.39004,0.71791
से,PreMainVerb,10,d,0.11555,0.26975
आती,MainVerb,10,d,0.88434,0.23956
है।,MainVerb,10,d,0.82808,0.60182
वह,NP1,11,a,0.00054,0.03664
बढ़ई,NP1,11,a,0.75438,0.09547
जिसने,RCPn,11,a,0.20923,0.91186
अलमारी,RCObj,11,a,0.2106,0.73193
नीम,PreRCVerb,11,a,0.71156,0.85418
के,PreRCVerb,11,a,0.19965,0.23935
पेड़,PreRCVerb,11,a,0.55796,0.86408
के,PreRCVerb,11,a,0.09645,0.21854
नीचे,PreRCVerb,11,a,0.38014,0.94146
बनायी,RCVerb,11,a,0.88856,0.25659
थी,RCVerb,11,a,0.12901,0.22499
यहाँ,PreMainVerb,11,a,0.50099,1.89095
कई,PreMainVerb,11,a,0.22347,1.01586
सालों,PreMainVerb,11,a,0.22885,0.6489
से,PreMainVerb,11,a,0.17098,0.25803
काम,MainVerb,11,a,0.69343,0.9327
कर,MainVerb,11,a,0.95449,0.25321
रहा,MainVerb,11,a,0.14302,0.1785
है।,MainVerb,11,a,0.56226,0.61237
वह,NP1,11,b,0.00054,0.03664
बढ़ई,NP1,11,b,0.75438,0.09547
जिसने,RCPn,11,b,0.20923,0.91186
नीम,PreRCVerb,11,b,0.21061,0.73193
के,PreRCVerb,11,b,0.13831,0.24431
पेड़,PreRCVerb,11,b,0.71156,0.85786
